symbol,timestamp,open,high,low,close,volume,Quote asset volume,Number of trades,bid_ask_spread,volume_24h,num_trades_24h,daily_return,ma_7,ma_30,volatility,rsi,volume_to_price_ratio,target
BTCUSDT,2020-01-30,0.07381642536900787,0.07502708771724999,0.07413486398152816,0.07551453737079962,0.012343551640363562,0.029991294898421707,0.027554131913607095,0.0,0.005729736454959652,0.2845247126805117,0.022757546339150503,0.07184314454759445,0.06995238792853362,0.10022525882412818,0.6508522772557077,0.0001792692733928838,0
BTCUSDT,2020-01-31,0.07550208200071185,0.0746481253776834,0.07418014927071985,0.07422735091374824,0.009108727052171228,0.02173124801396901,0.020931745161448495,0.0,0.005748020170302738,0.28475932695039796,-0.01685235582942035,0.07290799622759435,0.0705637121955663,0.1154925341192779,0.5713604953743008,0.0001367992891220263,1
BTCUSDT,2020-02-01,0.07421899180631979,0.0741271116462868,0.07475731312704272,0.07448202627812991,0.005466353592472184,0.01268079027377215,0.014797599072604953,4.46377310114876e-13,0.005749557854445874,0.284798892279192,0.0033914650979538497,0.07412448519176978,0.0712508426715451,0.10601746165522553,0.5767524243126133,8.520994927520635e-05,0
BTCUSDT,2020-02-02,0.07448153513500147,0.07422625415873096,0.07344834875363827,0.07405569393737749,0.00913853094493773,0.02186243830688886,0.02211242488579967,4.46377310114876e-13,0.005755420508964107,0.2849195529822435,-0.005658199967819688,0.07495935249225093,0.0718151566353533,0.10710490733568184,0.6243693021218195,0.00013753540472706343,0
BTCUSDT,2020-02-03,0.07405745138512482,0.0753506095638578,0.07437519309257061,0.07374040069780409,0.01025464024335936,0.024636337891964136,0.025099424625946554,0.0,0.005758245952714159,0.2849865565955606,-0.004208322125786812,0.07540756452624359,0.0723657160588139,0.09975447364698009,0.6307999084678555,0.00015394163550131089,0
BTCUSDT,2020-02-04,0.07373437054273488,0.07321872829026833,0.07322891429128929,0.07297589287320058,0.010773089042446901,0.02548351360160288,0.027512177828682066,0.0,0.005758869425555699,0.2850048487852428,-0.01024726007937804,0.07520110524867281,0.07288790851822831,0.046518578513613365,0.583780254480769,0.00016296972728316534,1
BTCUSDT,2020-02-05,0.07297700931354395,0.07634726941295657,0.07391355957007431,0.0763080293714882,0.013254184190090524,0.03251096387871486,0.03621948594184167,4.46377310114876e-13,0.005759531463642727,0.2850331678048248,0.04512548629882285,0.07556290710136487,0.07341458071951142,0.0899341936737616,0.6671009256206902,0.00018989629023722163,1
BTCUSDT,2020-02-06,0.07630906151036923,0.07728412649854897,0.0767520610091221,0.07759232543978872,0.013271198924469338,0.03352741010666397,0.03755814901723867,0.0,0.005759692495370469,0.2850430591370233,0.016641628624100457,0.07586444554282629,0.07387667873426368,0.08641774662214403,0.7744981104992563,0.00018700303294632916,1
BTCUSDT,2020-02-07,0.07759343632043679,0.0774620278228788,0.07840777898827624,0.07792736966915968,0.008768413425232753,0.022016346030586866,0.031007411975741098,4.46377310114876e-13,0.005761005921210819,0.28511162097390597,0.004270364306180774,0.07640140978164184,0.07437599809188562,0.07632613138484137,0.7751942102942042,0.00012576702240601215,1
BTCUSDT,2020-02-08,0.07792960418502097,0.07789825487763315,0.07789646986129856,0.07858027637254927,0.008690031382137094,0.021846231062783154,0.026571029707949743,4.46377310114876e-13,0.0057623654943787725,0.28512469650208616,0.008286349838440676,0.07699616723772423,0.07496608832564723,0.07600100130623343,0.8176554611264313,0.0001236829205704228,1
