symbol,timestamp,open,high,low,close,volume
BTCUSDT,2021-01-01,28923.63000000,29600.00000000,28624.57000000,29331.69000000,54182.92501100
BTCUSDT,2021-01-02,29331.70000000,33300.00000000,28946.53000000,32178.33000000,129993.87336200
BTCUSDT,2021-01-03,32176.45000000,34778.11000000,31962.99000000,33000.05000000,120957.56675000
BTCUSDT,2021-01-04,33000.05000000,33600.00000000,28130.00000000,31988.71000000,140899.88569000
BTCUSDT,2021-01-05,31989.75000000,34360.00000000,29900.00000000,33949.53000000,116049.99703800
BTCUSDT,2021-01-06,33949.53000000,36939.21000000,33288.00000000,36769.36000000,127139.20131000
BTCUSDT,2021-01-07,36769.36000000,40365.00000000,36300.00000000,39432.28000000,132825.70043700
BTCUSDT,2021-01-08,39432.48000000,41950.00000000,36500.00000000,40582.81000000,139789.95749900
BTCUSDT,2021-01-09,40586.96000000,41380.00000000,38720.00000000,40088.22000000,75785.97967500
BTCUSDT,2021-01-10,40088.22000000,41350.00000000,35111.11000000,38150.02000000,118209.54450300
BTCUSDT,2021-01-11,38150.02000000,38264.74000000,30420.00000000,35404.47000000,251156.13828700
BTCUSDT,2021-01-12,35410.37000000,36628.00000000,32531.00000000,34051.24000000,133948.15199600
BTCUSDT,2021-01-13,34049.15000000,37850.00000000,32380.00000000,37371.38000000,124477.91493800
BTCUSDT,2021-01-14,37371.38000000,40100.00000000,36701.23000000,39144.50000000,102950.38942100
BTCUSDT,2021-01-15,39145.21000000,39747.76000000,34408.00000000,36742.22000000,118300.92091600
BTCUSDT,2021-01-16,36737.43000000,37950.00000000,35357.80000000,35994.98000000,86348.43150800
BTCUSDT,2021-01-17,35994.98000000,36852.50000000,33850.00000000,35828.61000000,80157.72738400
BTCUSDT,2021-01-18,35824.99000000,37469.83000000,34800.00000000,36631.27000000,70698.11875000
BTCUSDT,2021-01-19,36622.46000000,37850.00000000,35844.06000000,35891.49000000,79611.30776900
BTCUSDT,2021-01-20,35901.94000000,36415.31000000,33400.00000000,35468.23000000,89368.42291800
BTCUSDT,2021-01-21,35468.23000000,35600.00000000,30071.00000000,30850.13000000,135004.07665800
BTCUSDT,2021-01-22,30851.99000000,33826.53000000,28850.00000000,32945.17000000,142971.68404900
BTCUSDT,2021-01-23,32950.00000000,33456.00000000,31390.16000000,32078.00000000,64595.28767500
BTCUSDT,2021-01-24,32078.00000000,33071.00000000,30900.00000000,32259.90000000,57978.03796600
BTCUSDT,2021-01-25,32259.45000000,34875.00000000,31910.00000000,32254.20000000,88499.22692100
BTCUSDT,2021-01-26,32254.19000000,32921.88000000,30837.37000000,32467.77000000,84972.20691000
BTCUSDT,2021-01-27,32464.01000000,32557.29000000,29241.72000000,30366.15000000,95911.96171100
BTCUSDT,2021-01-28,30362.19000000,33783.98000000,29842.10000000,33364.86000000,92621.14561700
BTCUSDT,2021-01-29,33368.18000000,38531.90000000,31915.40000000,34252.20000000,231827.00562600
BTCUSDT,2021-01-30,34246.28000000,34933.00000000,32825.00000000,34262.88000000,84889.68134000
BTCUSDT,2021-01-31,34262.89000000,34342.69000000,32171.67000000,33092.98000000,68742.28038400
BTCUSDT,2021-02-01,33092.97000000,34717.27000000,32296.16000000,33526.37000000,82718.27688200
BTCUSDT,2021-02-02,33517.09000000,35984.33000000,33418.00000000,35466.24000000,78056.65988000
BTCUSDT,2021-02-03,35472.71000000,37662.63000000,35362.38000000,37618.87000000,80784.33366300
BTCUSDT,2021-02-04,37620.26000000,38708.27000000,36161.95000000,36936.66000000,92080.73589800
BTCUSDT,2021-02-05,36936.65000000,38310.12000000,36570.00000000,38290.24000000,66681.33427500
BTCUSDT,2021-02-06,38289.32000000,40955.51000000,38215.94000000,39186.94000000,98757.31118300
BTCUSDT,2021-02-07,39181.01000000,39700.00000000,37351.00000000,38795.69000000,84363.67976300
BTCUSDT,2021-02-08,38795.69000000,46794.45000000,37988.89000000,46374.87000000,138597.53691400
BTCUSDT,2021-02-09,46374.86000000,48142.19000000,44961.09000000,46420.42000000,115499.86171200
BTCUSDT,2021-02-10,46420.42000000,47310.00000000,43727.00000000,44807.58000000,97154.18220000
BTCUSDT,2021-02-11,44807.58000000,48678.90000000,43994.02000000,47969.51000000,89561.08145400
BTCUSDT,2021-02-12,47968.66000000,48985.80000000,46125.00000000,47287.60000000,85870.03569700
BTCUSDT,2021-02-13,47298.15000000,48150.00000000,46202.53000000,47153.69000000,63768.09739900
BTCUSDT,2021-02-14,47156.78000000,49707.43000000,47014.17000000,48577.79000000,73735.47553300
BTCUSDT,2021-02-15,48580.47000000,49010.92000000,45570.79000000,47911.10000000,79398.15678400
BTCUSDT,2021-02-16,47911.10000000,50689.18000000,47003.62000000,49133.45000000,88813.26629800
BTCUSDT,2021-02-17,49133.45000000,52618.74000000,48947.00000000,52119.71000000,85743.63781800
BTCUSDT,2021-02-18,52117.67000000,52530.00000000,50901.90000000,51552.60000000,60758.04695400
BTCUSDT,2021-02-19,51552.61000000,56368.00000000,50710.20000000,55906.00000000,79659.77802000
BTCUSDT,2021-02-20,55906.00000000,57700.46000000,53863.93000000,55841.19000000,80948.20531400
BTCUSDT,2021-02-21,55841.19000000,58352.80000000,55477.59000000,57408.57000000,58166.70851100
BTCUSDT,2021-02-22,57412.35000000,57508.47000000,47622.00000000,54087.67000000,134019.43494400
BTCUSDT,2021-02-23,54087.67000000,54183.59000000,44892.56000000,48891.00000000,169375.02505100
BTCUSDT,2021-02-24,48891.00000000,51374.99000000,46988.69000000,49676.20000000,91881.20925200
BTCUSDT,2021-02-25,49676.21000000,52041.73000000,46674.34000000,47073.73000000,83310.67312100
BTCUSDT,2021-02-26,47073.73000000,48424.11000000,44106.78000000,46276.87000000,109423.20066300
BTCUSDT,2021-02-27,46276.88000000,48394.00000000,45000.00000000,46106.43000000,66060.83429200
BTCUSDT,2021-02-28,46103.67000000,46638.46000000,43000.00000000,45135.66000000,83055.36904200
BTCUSDT,2021-03-01,45134.11000000,49790.00000000,44950.53000000,49587.03000000,85086.11164800
BTCUSDT,2021-03-02,49595.76000000,50200.00000000,47047.60000000,48440.65000000,64221.06214000
BTCUSDT,2021-03-03,48436.61000000,52640.00000000,48100.71000000,50349.37000000,81035.91370500
BTCUSDT,2021-03-04,50349.37000000,51773.88000000,47500.00000000,48374.09000000,82649.71682900
BTCUSDT,2021-03-05,48374.09000000,49448.93000000,46300.00000000,48751.71000000,78192.49637200
BTCUSDT,2021-03-06,48746.81000000,49200.00000000,47070.00000000,48882.20000000,44399.23424200
BTCUSDT,2021-03-07,48882.20000000,51450.03000000,48882.20000000,50971.75000000,55235.02803200
BTCUSDT,2021-03-08,50959.11000000,52402.78000000,49274.67000000,52375.17000000,66987.35966400
BTCUSDT,2021-03-09,52375.18000000,54895.00000000,51789.41000000,54884.50000000,71656.73707600
BTCUSDT,2021-03-10,54874.67000000,57387.69000000,53005.00000000,55851.59000000,84749.23894300
BTCUSDT,2021-03-11,55851.59000000,58150.00000000,54272.82000000,57773.16000000,81914.81285900
BTCUSDT,2021-03-12,57773.15000000,58081.51000000,54962.84000000,57221.72000000,73405.40604700
BTCUSDT,2021-03-13,57221.72000000,61844.00000000,56078.23000000,61188.39000000,83245.09134600
BTCUSDT,2021-03-14,61188.38000000,61724.79000000,58966.78000000,58968.31000000,52601.05275000
BTCUSDT,2021-03-15,58976.08000000,60633.43000000,54600.00000000,55605.20000000,102771.42729800
BTCUSDT,2021-03-16,55605.20000000,56938.29000000,53271.34000000,56900.75000000,77986.69435500
BTCUSDT,2021-03-17,56900.74000000,58974.73000000,54123.69000000,58912.97000000,70421.62084100
BTCUSDT,2021-03-18,58912.97000000,60129.97000000,57023.00000000,57648.16000000,66580.40667500
BTCUSDT,2021-03-19,57641.00000000,59468.00000000,56270.74000000,58030.01000000,52392.65296100
BTCUSDT,2021-03-20,58030.01000000,59880.00000000,57820.17000000,58102.28000000,44476.94177600
BTCUSDT,2021-03-21,58100.02000000,58589.10000000,55450.11000000,57351.56000000,48564.47027400
BTCUSDT,2021-03-22,57351.56000000,58430.73000000,53650.00000000,54083.25000000,62581.62616900
BTCUSDT,2021-03-23,54083.25000000,55830.90000000,53000.00000000,54340.89000000,59789.36542700
BTCUSDT,2021-03-24,54342.80000000,57200.00000000,51700.00000000,52303.65000000,83537.46502100
BTCUSDT,2021-03-25,52303.66000000,53287.00000000,50427.56000000,51293.78000000,87400.53453800
BTCUSDT,2021-03-26,51293.78000000,55073.46000000,51214.60000000,55025.59000000,63813.77469200
BTCUSDT,2021-03-27,55025.59000000,56700.36000000,53950.00000000,55817.14000000,50105.47505500
BTCUSDT,2021-03-28,55817.14000000,56559.75000000,54691.84000000,55777.63000000,39050.38751100
BTCUSDT,2021-03-29,55777.65000000,58405.82000000,54800.01000000,57635.47000000,67857.93739800
BTCUSDT,2021-03-30,57635.46000000,59368.00000000,57071.35000000,58746.57000000,55122.44312200
BTCUSDT,2021-03-31,58746.57000000,59800.00000000,56769.00000000,58740.55000000,60975.54266600
BTCUSDT,2021-04-01,58739.46000000,59490.00000000,57935.45000000,58720.44000000,47415.61722000
BTCUSDT,2021-04-02,58720.45000000,60200.00000000,58428.57000000,58950.01000000,47382.41878100
BTCUSDT,2021-04-03,58950.01000000,59791.72000000,56880.00000000,57051.94000000,47409.85211300
BTCUSDT,2021-04-04,57051.95000000,58492.85000000,56388.00000000,58202.01000000,41314.08197300
BTCUSDT,2021-04-05,58202.01000000,59272.00000000,56777.77000000,59129.99000000,54258.01579000
BTCUSDT,2021-04-06,59129.99000000,59495.24000000,57413.02000000,57991.15000000,54201.00072700
BTCUSDT,2021-04-07,57990.03000000,58655.00000000,55473.00000000,55953.45000000,71228.40565900
BTCUSDT,2021-04-08,55953.44000000,58153.31000000,55700.00000000,58077.52000000,44283.14701900
BTCUSDT,2021-04-09,58077.52000000,58894.90000000,57654.00000000,58142.54000000,40831.88491100
BTCUSDT,2021-04-10,58142.55000000,61500.00000000,57900.01000000,59769.13000000,69906.42411700
BTCUSDT,2021-04-11,59769.13000000,60699.00000000,59232.52000000,60002.43000000,41156.71539100
BTCUSDT,2021-04-12,59998.80000000,61300.00000000,59350.59000000,59860.00000000,56375.03711700
BTCUSDT,2021-04-13,59860.01000000,63777.77000000,59805.15000000,63575.00000000,82848.68874600
BTCUSDT,2021-04-14,63575.01000000,64854.00000000,61301.00000000,62959.53000000,82616.34399300
BTCUSDT,2021-04-15,62959.53000000,63800.00000000,62020.00000000,63159.98000000,51649.70034000
BTCUSDT,2021-04-16,63158.74000000,63520.61000000,60000.00000000,61334.80000000,91764.13988400
BTCUSDT,2021-04-17,61334.81000000,62506.05000000,59580.91000000,60006.66000000,58912.25612800
BTCUSDT,2021-04-18,60006.67000000,60499.00000000,50931.30000000,56150.01000000,124882.13182400
BTCUSDT,2021-04-19,56150.01000000,57526.81000000,54221.58000000,55633.14000000,78229.04226700
BTCUSDT,2021-04-20,55633.14000000,57076.24000000,53329.96000000,56425.00000000,72744.48215100
BTCUSDT,2021-04-21,56425.00000000,56757.91000000,53536.02000000,53787.63000000,66984.75690900
BTCUSDT,2021-04-22,53787.62000000,55521.48000000,50500.00000000,51690.96000000,104656.63133700
BTCUSDT,2021-04-23,51690.95000000,52131.85000000,47500.00000000,51125.14000000,132230.78071900
BTCUSDT,2021-04-24,51110.56000000,51166.22000000,48657.14000000,50047.84000000,55361.51257300
BTCUSDT,2021-04-25,50047.84000000,50567.91000000,46930.00000000,49066.77000000,58255.64500400
BTCUSDT,2021-04-26,49066.76000000,54356.62000000,48753.44000000,54001.39000000,86310.80212400
BTCUSDT,2021-04-27,54001.38000000,55460.00000000,53222.00000000,55011.97000000,54064.03467500
BTCUSDT,2021-04-28,55011.97000000,56428.00000000,53813.16000000,54846.22000000,55130.45901500
BTCUSDT,2021-04-29,54846.23000000,55195.84000000,52330.94000000,53555.00000000,52486.01945500
BTCUSDT,2021-04-30,53555.00000000,57963.00000000,53013.01000000,57694.27000000,68578.91004500
BTCUSDT,2021-05-01,57697.25000000,58458.07000000,56956.14000000,57800.37000000,42600.35183600
BTCUSDT,2021-05-02,57797.35000000,57911.02000000,56035.25000000,56578.21000000,36812.87886300
BTCUSDT,2021-05-03,56578.21000000,58981.44000000,56435.00000000,57169.39000000,57649.93128600
BTCUSDT,2021-05-04,57169.39000000,57200.00000000,53046.69000000,53200.01000000,85324.62590300
BTCUSDT,2021-05-05,53205.05000000,58069.82000000,52900.00000000,57436.11000000,77263.92343900
BTCUSDT,2021-05-06,57436.11000000,58360.00000000,55200.00000000,56393.68000000,70181.67190800
BTCUSDT,2021-05-07,56393.68000000,58650.00000000,55241.63000000,57314.75000000,74542.74782900
BTCUSDT,2021-05-08,57315.49000000,59500.00000000,56900.00000000,58862.05000000,69709.90602800
BTCUSDT,2021-05-09,58866.53000000,59300.00000000,56235.66000000,58240.84000000,69806.11991000
BTCUSDT,2021-05-10,58240.83000000,59500.00000000,53400.00000000,55816.14000000,89586.34925000
BTCUSDT,2021-05-11,55816.14000000,56862.43000000,54370.00000000,56670.02000000,64329.54055000
BTCUSDT,2021-05-12,56670.02000000,58000.01000000,48600.00000000,49631.32000000,99842.78983600
BTCUSDT,2021-05-13,49537.15000000,51367.19000000,46000.00000000,49670.97000000,147332.00212100
BTCUSDT,2021-05-14,49671.92000000,51483.00000000,48799.75000000,49841.45000000,80082.20430600
BTCUSDT,2021-05-15,49844.16000000,50700.00000000,46555.00000000,46762.99000000,89437.44935900
BTCUSDT,2021-05-16,46762.99000000,49795.89000000,43825.39000000,46431.50000000,114269.81277500
BTCUSDT,2021-05-17,46426.83000000,46686.00000000,42001.00000000,43538.04000000,166657.17273600
